,Accuracy - SARSA,Nb episodes - SARSA,Accuracy - QLearning,Nb episodes - QLearning
Fixed $\epsilon$ : $\epsilon$ = 0.1,1.0,125.6,1.0,160.4
Fixed $\epsilon$ : $\epsilon$ = 0.3,0.8,136.6,1.0,170.8
Fixed $\epsilon$ : $\epsilon$ = 0.5,1.0,113.2,1.0,155.4
Fixed $\epsilon$ : $\epsilon$ = 0.7,0.8,124.6,1.0,207.6
Fixed $\epsilon$ : $\epsilon$ = 0.9,0.8,109.6,1.0,181.6
Decaying-$\epsilon$ : decaying rate = 0.9,1.0,123.8,1.0,168.4
Decaying-$\epsilon$ : decaying rate = 0.99,1.0,118.8,1.0,187.0
Decaying-$\epsilon$ : decaying rate = 0.999,1.0,130.0,1.0,195.8
Softmax : $	au$ = 1,0.2,2000.0,1.0,2000.0
Softmax : $	au$ = 0.1,0.8,1085.8,1.0,1710.4
Softmax : $	au$ = 0.01,1.0,112.8,1.0,188.2
Softmax : $	au$ = 0.001,1.0,109.0,1.0,109.0
